"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-01","41","46","34"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-02","42","49","37"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-03","43","48","38"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-04","45","50","41"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-05","43","46","38"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-06","41","46","38"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-07","47","57","40"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-08","48","53","43"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-09","44","48","37"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-10","39","48","35"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-11","39","48","34"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-12","39","47","33"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-13","37","45","30"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-14","38","44","31"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-15","40","46","37"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-16","44","51","37"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-17","49","55","41"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-18","49","56","43"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-19","51","54","48"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-20","52","56","47"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-21","50","56","42"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-22","49","55","45"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-23","49","56","44"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-24","49","52","46"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-25","54","61","49"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-26","47","54","40"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-27","43","54","36"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-28","44","55","38"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-29","48","56","39"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-30","52","60","46"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-01-31","50","58","43"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-01","52","58","46"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-02","51","59","43"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-03","48","60","40"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-04","50","61","42"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-05","44","52","40"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-06","46","56","39"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-07","43","51","38"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-08","43","51","35"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-09","46","54","38"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-10","48","57","40"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-11","50","60","43"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-12","49","57","43"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-13","52","63","43"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-14","55","63","47"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-15","57","64","51"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-16","55","63","47"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-17","52","62","44"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-18","43","48","40"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-19","39","42","35"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-20","44","54","33"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-21","47","58","38"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-22","50","60","41"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-23","47","56","42"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-24","49","59","41"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-25","50","60","43"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-26","54","66","42"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-27","56","67","49"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-02-28","56","65","48"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-01","59","68","52"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-02","58","65","50"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-03","51","62","42"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-04","46","57","39"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-05","45","53","38"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-06","45","50","40"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-07","45","55","38"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-08","46","57","39"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-09","52","66","39"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-10","56","66","47"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-11","59","72","49"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-12","61","72","52"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-13","63","72","54"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-14","61","70","53"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-15","58","69","50"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-16","57","70","49"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-17","53","67","44"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-18","54","65","47"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-19","54","67","42"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-20","51","57","45"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-21","50","62","39"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-22","54","65","44"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-23","55","67","45"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-24","57","69","47"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-25","48","59","42"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-26","51","67","41"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-27","51","58","45"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-28","55","65","49"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-29","59","73","49"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-30","54","64","49"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-03-31","54","63","49"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-01","53","60","47"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-02","55","67","46"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-03","59","73","49"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-04","51","56","47"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-05","52","59","48"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-06","52","63","47"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-07","50","57","43"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-08","52","64","40"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-09","61","72","49"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-10","68","81","56"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-11","58","71","46"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-12","60","73","49"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-13","54","66","45"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-14","51","64","43"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-15","46","55","40"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-16","52","64","38"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-17","57","67","47"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-18","62","73","53"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-19","65","77","53"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-20","64","77","51"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-21","71","83","59"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-22","73","87","62"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-23","65","80","52"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-24","56","74","47"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-25","50","58","45"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-26","55","71","45"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-27","62","81","44"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-28","71","86","56"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-29","73","87","57"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-04-30","68","82","53"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-01","70","81","59"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-02","74","88","63"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-03","75","88","66"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-04","67","86","49"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-05","55","66","49"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-06","57","65","50"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-07","56","66","49"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-08","52","64","47"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-09","54","66","46"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-10","60","76","47"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-11","71","90","54"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-12","68","79","59"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-13","65","79","56"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-14","59","72","47"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-15","55","66","45"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-16","56","66","48"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-17","54","65","46"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-18","59","72","45"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-19","68","83","51"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-20","72","87","55"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-21","57","67","45"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-22","52","64","42"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-23","54","67","42"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-24","55","67","44"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-25","53","66","44"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-26","55","65","49"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-27","53","60","48"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-28","58","70","52"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-29","58","69","49"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-30","61","75","49"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-05-31","71","87","51"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-01","76","91","60"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-02","69","84","55"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-03","57","68","49"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-04","53","60","49"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-05","55","69","47"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-06","62","77","48"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-07","78","96","54"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-08","77","101","52"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-09","53","57","51"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-10","55","64","50"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-11","61","75","51"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-12","64","75","53"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-13","64","77","49"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-14","71","83","60"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-15","62","73","52"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-16","64","77","54"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-17","61","72","51"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-18","56","66","50"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-19","59","71","49"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-20","62","76","51"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-21","67","80","54"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-22","70","86","57"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-23","57","61","53"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-24","57","60","54"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-25","61","69","57"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-26","67","77","59"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-27","74","89","59"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-28","85","96","71"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-29","85","100","74"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-06-30","81","95","71"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-01","82","95","67"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-02","80","96","64"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-03","79","93","66"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-04","82","95","69"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-05","58","68","51"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-06","58","72","50"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-07","62","83","50"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-08","66","86","50"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-09","78","94","63"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-10","66","85","49"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-11","59","76","48"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-12","63","78","49"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-13","70","86","58"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-14","65","81","49"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-15","55","69","47"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-16","55","62","50"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-17","63","78","52"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-18","71","87","55"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-19","73","90","59"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-20","70","90","53"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-21","68","85","52"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-22","64","81","52"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-23","67","80","56"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-24","73","87","61"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-25","70","83","59"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-26","65","82","51"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-27","60","74","51"
"USR0000CBRI","BRIONES CALIFORNIA, CA US","37.9442","-122.1178","442.0","2013-07-28","58","70","51"
